Popularity,Movie_Name,Stars_1,Stars_2,Stars_3,Stars_4,Votes,Genre_1,Genre_2,Genre_3,Gross_Collection_$M,Certification
1,Fast X,Vin Diesel,Michelle Rodriguez,Jason Statham,Jordana Brewster,34473,Action,Adventure,Crime,nan,PG-13
2,Guardians of the Galaxy Vol. 3,Chris Pratt,Chukwudi Iwuji,Bradley Cooper,Pom Klementieff,151932,Action,Adventure,Comedy,nan,PG-13
3,John Wick: Chapter 4,Keanu Reeves,Laurence Fishburne,George Georgiou,Lance Reddick,184574,Action,Crime,Thriller,nan,R
4,Dungeons & Dragons: Honor Among Thieves,Chris Pine,Michelle Rodriguez,Regé-Jean Page,Justice Smith,116875,Action,Adventure,Comedy,nan,PG-13
5,Ant-Man and the Wasp: Quantumania,Paul Rudd,Evangeline Lilly,Michael Douglas,Michelle Pfeiffer,163120,Action,Adventure,Comedy,nan,PG-13
6,Sisu,Jorma Tommila,Aksel Hennie,Jack Doolan,Mimosa Willamo,28216,Action,War,nan,nan,R
7,The Mother,Jennifer Lopez,Lucy Paez,Omari Hardwick,Joseph Fiennes,30091,Action,Thriller,nan,nan,R
8,The Covenant,Jake Gyllenhaal,Dar Salim,Sean Sagar,Jason Wong,40789,Action,Thriller,War,nan,R
9,Shazam! Fury of the Gods,Zachary Levi,Asher Angel,Jack Dylan Grazer,Rachel Zegler,78754,Action,Adventure,Comedy,nan,PG-13
10,F9: The Fast Saga,Vin Diesel,Michelle Rodriguez,Jordana Brewster,Tyrese Gibson,146600,Action,Crime,Thriller,173.2,PG-13
11,The Fast and the Furious,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,399804,Action,Crime,Thriller,144.53,PG-13
12,Guardians of the Galaxy,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1218508,Action,Adventure,Comedy,333.18,PG-13
13,Ghosted (I),Chris Evans,Ana de Armas,Adrien Brody,Mike Moh,40713,Action,Adventure,Comedy,nan,PG-13
14,Avatar: The Way of Water,Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,386405,Action,Adventure,Fantasy,659.68,PG-13
15,Thor,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Tom Hiddleston,868699,Action,Fantasy,nan,181.03,PG-13
16,Top Gun: Maverick,Tom Cruise,Jennifer Connelly,Miles Teller,Val Kilmer,590037,Action,Drama,nan,718.73,PG-13
17,Everything Everywhere All at Once,Michelle Yeoh,Stephanie Hsu,Jamie Lee Curtis,Ke Huy Quan,449209,Action,Adventure,Comedy,72.86,R
18,Heat,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,676362,Action,Crime,Drama,67.44,R
19,65,Adam Driver,Ariana Greenblatt,Chloe Coleman,Nika King,45784,Action,Adventure,Drama,nan,PG-13
20,Dune,Timothée Chalamet,Rebecca Ferguson,Zendaya,Oscar Isaac,678748,Action,Adventure,Drama,108.33,PG-13
21,John Wick,Keanu Reeves,Michael Nyqvist,Alfie Allen,Willem Dafoe,694660,Action,Crime,Thriller,43.04,R
22,Furious 7,Vin Diesel,Paul Walker,Dwayne Johnson,Jason Statham,400671,Action,Crime,Thriller,353.01,PG-13
23,Bullet Train,Brad Pitt,Joey King,Aaron Taylor-Johnson,Brian Tyree Henry,359754,Action,Comedy,Thriller,103.37,R
24,Guardians of the Galaxy Vol. 2,Chris Pratt,Zoe Saldana,Dave Bautista,Vin Diesel,715473,Action,Adventure,Comedy,389.81,PG-13
25,Operation Fortune: Ruse de Guerre,Jason Statham,Aubrey Plaza,Cary Elwes,Hugh Grant,55736,Action,Comedy,Thriller,nan,R
26,Fast Five,Vin Diesel,Paul Walker,Dwayne Johnson,Jordana Brewster,392359,Action,Crime,Thriller,209.84,PG-13
27,Spider-Man: Into the Spider-Verse,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,566844,Animation,Action,Adventure,190.24,PG
28,Fast & Furious,Vin Diesel,Paul Walker,Michelle Rodriguez,Jordana Brewster,297532,Action,Crime,Thriller,155.06,PG-13
29,The Fate of the Furious,Vin Diesel,Jason Statham,Dwayne Johnson,Michelle Rodriguez,241630,Action,Crime,Thriller,226.01,PG-13
30,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2413483,Action,Adventure,Sci-Fi,292.58,PG-13
31,The Batman,Robert Pattinson,Zoë Kravitz,Jeffrey Wright,Colin Farrell,700400,Action,Crime,Drama,369.35,PG-13
32,Fast & Furious 6,Vin Diesel,Paul Walker,Dwayne Johnson,Michelle Rodriguez,404108,Action,Adventure,Crime,238.68,PG-13
33,Spider-Man: No Way Home,Tom Holland,Zendaya,Benedict Cumberbatch,Jacob Batalon,797397,Action,Adventure,Fantasy,804.75,PG-13
